cell	node	doublet
Cell_431	3	no
Cell_432	2	no
Cell_433	3	no
Cell_434	3	no
Cell_435	0	no
Cell_436	3	no
Cell_437	3	no
Cell_438	4	no
Cell_439	4	no
Cell_440	3	no
Cell_441	4	no
Cell_442	4	no
Cell_443	0	no
Cell_444	4	no
Cell_445	4	no
Cell_446	4	no
Cell_447	3	no
Cell_448	3	no
Cell_449	4	no
Cell_450	4	no
Cell_451	3	no
Cell_452	4	no
Cell_453	0	no
Cell_454	3	no
Cell_455	4	no
Cell_456	3	no
Cell_457	0	no
Cell_458	3	no
Cell_459	4	no
Cell_460	3	no
Cell_461	2	no
Cell_462	4	no
Cell_463	3	no
Cell_464	4	no
Cell_465	3	no
Cell_466	3	no
Cell_467	3	no
Cell_468	3	no
Cell_469	4	no
Cell_470	3	no
Cell_471	4	no
Cell_472	3	no
Cell_473	0	no
Cell_474	3	no
Cell_475	3	no
Cell_476	3	no
Cell_477	3	no
Cell_478	3	no
Cell_479	3	no
Cell_480	2	no
Cell_481	4	no
Cell_482	4	no
Cell_483	2	no
Cell_484	3	no
Cell_485	4	no
Cell_486	0	no
Cell_487	3	no
Cell_488	3	no
Cell_489	4	no
Cell_490	3	no
Cell_491	3	no
Cell_492	3	no
Cell_493	4	no
Cell_494	4	no
Cell_495	3	no
Cell_496	2	no
Cell_497	3	no
Cell_498	3	no
Cell_499	4	no
Cell_500	3	no
Cell_501	4	no
Cell_502	3	no
Cell_503	4	no
Cell_504	4	no
Cell_505	3	no
Cell_506	3	no
Cell_507	3	no
Cell_508	3	no
Cell_509	4	no
Cell_510	4	no
Cell_511	3	no
Cell_512	4	no
Cell_513	4	no
Cell_514	0	no
Cell_515	4	no
Cell_516	3	no
Cell_517	3	no
Cell_518	3	no
Cell_519	0	no
Cell_520	3	no
Cell_521	3	no
Cell_522	3	no
Cell_523	4	no
Cell_524	0	no
Cell_525	3	no
Cell_526	3	no
Cell_527	3	no
Cell_528	0	no
Cell_529	4	no
Cell_530	4	no
Cell_531	3	no
Cell_532	3	no
Cell_533	4	no
Cell_534	3	no
Cell_535	3	no
Cell_536	3	no
Cell_537	4	no
Cell_538	4	no
Cell_539	4	no
Cell_540	3	no
Cell_541	3	no
Cell_542	3	no
Cell_543	0	no
Cell_544	4	no
Cell_545	3	no
Cell_546	4	no
Cell_547	4	no
Cell_548	4	no
Cell_549	3	no
Cell_550	3	no
Cell_551	4	no
Cell_552	3	no
Cell_553	4	no
Cell_554	3	no
Cell_555	4	no
Cell_556	0	no
Cell_557	3	no
Cell_558	4	no
Cell_559	3	no
Cell_560	4	no
Cell_561	0	no
Cell_562	3	no
Cell_563	3	no
Cell_564	3	no
Cell_565	4	no
Cell_566	3	no
Cell_567	3	no
Cell_568	3	no
Cell_569	4	no
Cell_570	3	no
Cell_571	3	no
Cell_572	4	no
Cell_573	3	no
Cell_574	3	no
Cell_575	3	no
Cell_576	3	no
Cell_577	3	no
Cell_578	0	no
Cell_579	3	no
Cell_580	4	no
Cell_581	3	no
Cell_582	4	no
Cell_583	4	no
Cell_584	4	no
Cell_585	4	no
Cell_586	4	no
Cell_587	3	no
Cell_588	4	no
Cell_589	0	no
Cell_590	3	no
Cell_591	0	no
Cell_592	0	no
Cell_593	3	no
Cell_594	2	yes
Cell_595	3	no
Cell_596	3	no
Cell_597	4	no
Cell_598	3	no
Cell_599	4	no
Cell_600	4	no
Cell_601	4	no
Cell_602	3	no
Cell_603	4	no
Cell_604	3	no
Cell_605	3	no
Cell_606	4	no
Cell_607	3	no
Cell_608	3	no
Cell_609	3	no
Cell_610	3	no
Cell_611	4	no
Cell_612	3	no
Cell_613	0	no
Cell_614	3	no
Cell_615	3	no
Cell_616	3	no
Cell_617	4	no
Cell_618	4	no
Cell_619	4	no
Cell_620	4	no
Cell_621	3	no
Cell_622	4	no
Cell_623	4	no
Cell_624	3	no
Cell_625	4	no
Cell_626	4	no
Cell_627	4	no
Cell_628	3	no
Cell_629	4	no
Cell_630	3	no
Cell_631	3	no
Cell_632	4	no
Cell_633	3	no
Cell_634	0	no
Cell_635	3	no
Cell_636	4	no
Cell_637	4	no
Cell_638	3	no
Cell_639	3	no
Cell_640	4	no
Cell_641	4	no
Cell_642	4	no
Cell_643	0	no
Cell_644	4	no
Cell_645	3	no
Cell_646	4	no
Cell_647	3	no
Cell_648	4	no
Cell_649	3	no
Cell_650	3	no
Cell_651	3	no
Cell_652	3	no
Cell_653	3	no
Cell_654	3	no
Cell_655	3	no
Cell_656	3	no
Cell_657	3	no
Cell_658	4	no
Cell_659	3	no
Cell_660	0	no
Cell_661	4	no
Cell_662	4	no
Cell_663	3	no
Cell_664	0	no
Cell_665	3	no
Cell_666	3	no
Cell_667	4	no
Cell_668	2	no
Cell_669	0	no
Cell_670	3	no
Cell_671	3	no
Cell_672	3	no
Cell_673	3	no
Cell_674	3	no
Cell_675	4	no
Cell_676	4	no
Cell_677	4	no
Cell_678	3	no
Cell_679	3	no
Cell_680	3	no
Cell_681	3	no
Cell_682	2	no
Cell_683	3	no
Cell_684	4	no
Cell_685	3	no
Cell_686	0	no
Cell_687	3	no
Cell_688	2	no
Cell_689	0	no
Cell_690	3	no
Cell_691	3	no
Cell_692	0	no
Cell_693	3	no
Cell_694	4	no
Cell_695	3	no
Cell_696	3	no
Cell_697	3	no
Cell_698	2	no
Cell_699	4	no
Cell_700	3	no
Cell_701	3	no
Cell_702	0	no
Cell_703	2	no
Cell_704	3	no
Cell_705	4	no
Cell_706	3	no
Cell_707	3	no
Cell_708	4	no
Cell_709	3	no
Cell_710	3	no
Cell_711	3	no
Cell_712	3	no
Cell_713	3	no
Cell_714	0	no
Cell_715	4	no
Cell_716	3	no
Cell_717	4	no
Cell_718	4	no
Cell_719	4	no
Cell_720	4	no
Cell_721	3	no
Cell_722	0	no
Cell_723	2	no
Cell_724	3	no
Cell_725	3	no
Cell_726	4	no
Cell_727	3	no
Cell_728	3	no
Cell_729	4	no
Cell_730	4	no
Cell_731	4	no
Cell_732	4	no
Cell_733	3	no
Cell_734	4	no
Cell_735	4	no
Cell_736	4	no
Cell_737	3	no
Cell_738	3	no
Cell_739	4	no
Cell_740	0	no
Cell_741	4	no
Cell_742	4	no
Cell_743	3	no
Cell_744	3	no
Cell_745	4	no
Cell_746	3	no
Cell_747	0	no
Cell_748	3	no
Cell_749	4	no
Cell_750	3	no
Cell_751	3	no
Cell_752	4	no
Cell_753	4	no
Cell_754	4	no
Cell_755	2	no
Cell_756	4	no
Cell_757	4	no
Cell_758	3	no
Cell_759	3	no
Cell_760	2	no
Cell_761	3	no
Cell_762	4	no
Cell_763	3	no
Cell_764	4	no
Cell_765	4	no
Cell_766	4	no
Cell_767	4	no
Cell_768	4	no
Cell_769	3	no
Cell_770	4	no
Cell_771	0	no
Cell_772	3	no
Cell_773	2	no
Cell_774	3	no
Cell_775	3	no
Cell_776	3	no
Cell_777	3	no
Cell_778	3	no
Cell_779	4	no
Cell_780	4	no
Cell_781	3	no
Cell_782	4	no
Cell_783	4	no
Cell_784	4	no
Cell_785	3	no
Cell_786	3	no
Cell_787	3	no
Cell_788	3	no
Cell_789	3	no
Cell_790	4	no
Cell_791	4	no
Cell_792	3	no
Cell_793	3	no
Cell_794	4	no
Cell_795	4	no
Cell_796	3	no
Cell_797	3	no
Cell_798	4	no
Cell_799	4	no
Cell_800	3	no
Cell_801	4	no
Cell_802	4	no
Cell_803	3	no
Cell_804	4	no
Cell_805	4	no
Cell_806	4	no
Cell_807	4	no
Cell_808	3	no
Cell_809	3	no
Cell_810	2	no
Cell_811	2	no
Cell_812	3	no
Cell_813	0	no
Cell_814	4	no
Cell_815	3	no
Cell_816	3	no
Cell_817	3	no
Cell_818	4	no
Cell_819	4	no
Cell_820	0	no
Cell_821	3	no
Cell_822	3	no
Cell_823	2	no
Cell_824	3	no
Cell_825	4	no
Cell_826	4	no
Cell_827	4	no
Cell_828	3	no
Cell_829	4	no
Cell_830	4	no
Cell_831	0	no
Cell_832	4	no
Cell_833	3	no
Cell_834	4	no
Cell_835	3	no
Cell_836	2	no
Cell_837	3	no
Cell_838	3	no
Cell_839	4	no
Cell_840	3	no
Cell_841	3	no
Cell_842	3	no
Cell_843	3	no
Cell_844	3	no
Cell_845	3	no
Cell_846	3	no
Cell_847	3	no
Cell_848	3	no
Cell_849	2	no
Cell_850	3	no
Cell_851	3	no
Cell_852	3	no
Cell_853	4	no
Cell_854	2	no
Cell_855	2	no
Cell_856	4	no
Cell_857	3	no
Cell_858	3	no
Cell_859	3	no
Cell_860	3	no
Cell_861	2	no
Cell_862	4	no
Cell_863	0	no
Cell_864	4	no
Cell_865	3	no
Cell_866	3	no
Cell_867	3	no
Cell_868	4	no
Cell_869	4	no
Cell_870	3	no
Cell_871	0	no
Cell_872	3	no
Cell_873	3	no
Cell_874	0	no
Cell_875	3	no
Cell_876	4	no
Cell_877	4	no
Cell_878	4	no
Cell_879	3	no
Cell_880	3	no
Cell_881	3	no
Cell_882	3	no
Cell_883	4	no
Cell_884	3	no
Cell_885	4	no
Cell_886	3	no
Cell_887	0	no
Cell_888	4	no
Cell_889	2	no
Cell_890	0	no
Cell_891	4	no
Cell_892	3	no
Cell_893	3	no
Cell_894	3	no
Cell_895	4	no
Cell_896	3	no
Cell_897	3	no
Cell_898	3	no
Cell_899	0	no
Cell_900	3	no
Cell_901	4	no
Cell_902	4	no
Cell_903	4	no
Cell_904	0	no
Cell_905	4	no
Cell_906	3	no
Cell_907	3	no
Cell_908	4	no
Cell_909	3	no
Cell_910	3	no
Cell_911	3	no
Cell_912	4	no
Cell_913	3	no
Cell_914	4	no
Cell_915	3	no
Cell_916	4	no
Cell_917	3	no
Cell_918	4	no
Cell_919	4	no
Cell_920	2	no
Cell_921	3	no
Cell_922	4	no
Cell_923	4	no
Cell_924	2	no
Cell_925	3	no
Cell_926	3	no
Cell_927	3	no
Cell_928	4	no
Cell_929	3	no
Cell_930	3	no
Cell_931	3	no
Cell_932	3	no
Cell_933	3	no
Cell_934	3	no
Cell_935	4	no
Cell_936	3	no
Cell_937	3	no
Cell_938	4	no
Cell_939	3	no
Cell_940	0	no
Cell_941	0	no
Cell_942	4	no
Cell_943	3	no
Cell_944	3	no
Cell_945	4	no
Cell_946	3	no
Cell_947	3	no
Cell_948	4	no
Cell_949	4	no
Cell_950	4	no
Cell_951	3	no
Cell_952	3	no
Cell_953	3	no
Cell_954	4	no
Cell_955	4	no
Cell_956	4	no
Cell_957	4	no
Cell_958	4	no
Cell_959	4	no
Cell_960	3	no
Cell_961	4	no
Cell_962	4	no
Cell_963	3	no
Cell_964	0	no
Cell_965	3	no
Cell_966	3	no
Cell_967	3	no
Cell_968	3	no
Cell_969	3	no
Cell_970	4	no
Cell_971	4	no
Cell_972	4	no
Cell_973	3	no
Cell_974	3	no
Cell_975	0	no
Cell_976	3	no
Cell_977	4	no
Cell_978	3	no
Cell_979	4	no
Cell_980	4	no
Cell_981	3	no
Cell_982	3	no
Cell_983	4	no
Cell_984	0	no
Cell_985	3	no
Cell_986	0	no
Cell_987	3	no
Cell_988	3	no
Cell_989	0	no
Cell_990	3	no
Cell_991	4	no
Cell_992	4	no
Cell_993	3	no
Cell_994	3	no
Cell_995	0	no
Cell_996	3	no
Cell_997	4	no
Cell_998	0	no
Cell_999	4	no
Cell_1000	3	no
Cell_1001	3	no
Cell_1002	3	no
Cell_1003	3	no
Cell_1004	4	no
Cell_1005	3	no
Cell_1006	3	no
Cell_1007	4	no
Cell_1008	4	no
Cell_1009	0	no
Cell_1010	3	no
Cell_1011	3	no
Cell_1012	4	no
Cell_1013	4	no
Cell_1014	3	no
Cell_1015	0	no
Cell_1016	3	no
Cell_1017	3	no
Cell_1018	3	no
Cell_1019	0	no
Cell_1020	3	no
Cell_1021	4	no
Cell_1022	3	no
Cell_1023	3	no
Cell_1024	3	no
Cell_1025	3	no
Cell_1026	3	no
Cell_1027	4	no
Cell_1028	3	no
Cell_1029	2	no
Cell_1030	4	no
Cell_1031	4	no
Cell_1032	3	no
Cell_1033	4	no
Cell_1034	0	no
Cell_1035	4	no
Cell_1036	4	no
Cell_1037	3	no
Cell_1038	4	no
Cell_1039	4	no
Cell_1040	0	no
Cell_1041	3	no
Cell_1042	4	no
Cell_1043	2	no
Cell_1044	4	no
Cell_1045	3	no
Cell_1046	3	no
Cell_1047	3	no
Cell_1048	4	no
Cell_1049	3	no
Cell_1050	0	no
Cell_1051	0	no
Cell_1052	4	no
Cell_1053	3	no
Cell_1054	3	no
Cell_1055	3	no
Cell_1056	4	no
Cell_1057	3	no
Cell_1058	4	no
Cell_1059	0	no
Cell_1060	3	no
Cell_1061	4	no
Cell_1062	3	no
Cell_1063	3	no
Cell_1064	3	no
Cell_1065	4	no
Cell_1066	4	no
Cell_1067	4	no
Cell_1068	2	no
Cell_1069	0	no
Cell_1070	3	no
Cell_1071	4	no
Cell_1072	3	no
Cell_1073	3	no
Cell_1074	4	no
Cell_1075	3	no
Cell_1076	4	no
Cell_1077	3	no
Cell_1078	0	no
Cell_1079	3	no
Cell_1080	4	no
Cell_1081	3	no
Cell_1082	0	no
Cell_1083	3	no
Cell_1084	0	no
Cell_1085	0	no
Cell_1086	4	no
Cell_1087	3	no
Cell_1088	4	no
Cell_1089	0	no
Cell_1090	4	no
Cell_1091	4	no
Cell_1092	0	no
Cell_1093	3	no
Cell_1094	4	no
Cell_1095	4	no
Cell_1096	3	no
Cell_1097	3	no
Cell_1098	4	no
Cell_1099	3	no
Cell_1100	3	no
Cell_1101	3	no
Cell_1102	2	no
Cell_1103	2	no
Cell_1104	3	no
Cell_1105	3	no
Cell_1106	3	no
Cell_1107	3	no
Cell_1108	3	no
Cell_1109	3	no
Cell_1110	4	no
Cell_1111	3	no
Cell_1112	4	no
Cell_1113	4	no
Cell_1114	4	no
Cell_1115	3	no
Cell_1116	2	no
Cell_1117	4	no
Cell_1118	3	no
Cell_1119	2	no
Cell_1120	0	no
Cell_1121	4	no
Cell_1122	3	no
Cell_1123	4	no
Cell_1124	3	no
Cell_1125	4	no
Cell_1126	3	no
Cell_1127	4	no
Cell_1128	4	no
Cell_1129	4	no
Cell_1130	4	no
Cell_1131	3	no
Cell_1132	4	no
Cell_1133	3	no
Cell_1134	4	no
Cell_1135	3	no
Cell_1136	3	no
Cell_1137	4	no
Cell_1138	3	no
Cell_1139	3	no
Cell_1140	4	no
Cell_1141	4	no
Cell_1142	4	no
Cell_1143	3	no
Cell_1144	0	no
Cell_1145	0	no
Cell_1146	0	no
Cell_1147	3	no
Cell_1148	3	no
Cell_1149	2	no
Cell_1150	3	no
Cell_1151	2	no
Cell_1152	3	no
Cell_1153	3	no
Cell_1154	3	no
Cell_1155	3	no
Cell_1156	2	no
Cell_1157	4	no
Cell_1158	4	no
Cell_1159	3	no
Cell_1160	3	no
Cell_1161	3	no
Cell_1162	0	no
Cell_1163	2	no
Cell_1164	3	no
Cell_1165	4	no
Cell_1166	3	no
Cell_1167	4	no
Cell_1168	4	no
Cell_1169	3	no
Cell_1170	4	no
Cell_1171	2	no
Cell_1172	0	no
Cell_1173	3	no
Cell_1174	0	no
Cell_1175	4	no
Cell_1176	3	no
Cell_1177	4	no
Cell_1178	3	no
Cell_1179	4	no
Cell_1180	3	no
Cell_1181	2	no
Cell_1182	4	no
Cell_1183	3	no
Cell_1184	3	no
Cell_1185	3	no
Cell_1186	3	no
Cell_1187	4	no
Cell_1188	4	no
Cell_1189	4	no
Cell_1190	4	no
Cell_1191	3	no
Cell_1192	4	no
Cell_1193	4	no
Cell_1194	0	no
Cell_1195	3	no
Cell_1196	4	no
Cell_1197	4	no
Cell_1198	3	no
Cell_1199	3	no
Cell_1200	4	no
Cell_1201	4	no
Cell_1202	4	no
Cell_1203	0	no
Cell_1204	3	no
Cell_1205	3	no
Cell_1206	0	no
Cell_1207	0	no
Cell_1208	4	no
Cell_1209	3	no
Cell_1210	3	no
Cell_1211	4	no
Cell_1212	3	no
Cell_1213	4	no
Cell_1214	4	no
Cell_1215	4	no
Cell_1216	3	no
Cell_1217	3	no
Cell_1218	4	no
Cell_1219	3	no
Cell_1220	0	no
Cell_1221	4	no
Cell_1222	3	no
Cell_1223	3	no
Cell_1224	3	no
Cell_1225	3	no
Cell_1226	3	no
Cell_1227	3	no
Cell_1228	3	no
Cell_1229	4	no
Cell_1230	3	no
Cell_1231	3	no
Cell_1232	3	no
Cell_1233	3	no
Cell_1234	3	no
Cell_1235	4	no
Cell_1236	3	no
Cell_1237	3	no
Cell_1238	4	no
Cell_1239	3	no
Cell_1240	3	no
Cell_1241	3	no
Cell_1242	4	no
Cell_1243	4	no
Cell_1244	4	no
Cell_1245	4	no
Cell_1246	4	no
Cell_1247	3	no
Cell_1248	0	no
Cell_1249	4	no
Cell_1250	4	no
Cell_1251	3	no
Cell_1252	3	no
Cell_1253	3	no
Cell_1254	3	no
Cell_1255	3	no
Cell_1256	3	no
Cell_1257	4	no
Cell_1258	3	no
Cell_1259	3	no
Cell_1260	3	no
Cell_1261	3	no
Cell_1262	4	no
Cell_1263	3	no
Cell_1264	3	no
Cell_1265	3	no
Cell_1266	3	no
Cell_1267	4	no
Cell_1268	4	no
Cell_1269	4	no
Cell_1270	4	no
Cell_1271	2	no
Cell_1272	4	no
Cell_1273	0	no
Cell_1274	4	no
Cell_1275	3	no
Cell_1276	4	no
Cell_1277	4	no
Cell_1278	4	no
Cell_1279	3	no
Cell_1280	4	no
Cell_1281	3	no
Cell_1282	3	no
Cell_1283	3	no
Cell_1284	3	no
Cell_1285	4	no
Cell_1286	3	no
Cell_1287	2	no
Cell_1288	4	no
Cell_1289	4	no
Cell_1290	4	no
Cell_1291	4	no
Cell_1292	3	no
Cell_1293	3	no
Cell_1294	4	no
Cell_1295	4	no
Cell_1296	3	no
Cell_1297	4	no
Cell_1298	4	no
Cell_1299	3	no
Cell_1300	4	no
Cell_1301	3	no
Cell_1302	3	no
Cell_1303	3	no
Cell_1304	4	no
Cell_1305	4	no
Cell_1306	3	no
Cell_1307	4	no
Cell_1308	4	no
Cell_1309	4	no
Cell_1310	3	no
Cell_1311	3	no
Cell_1312	0	no
Cell_1313	3	no
Cell_1314	3	no
Cell_1315	4	no
Cell_1316	4	no
Cell_1317	3	no
Cell_1318	3	no
Cell_1319	4	no
Cell_1320	4	no
Cell_1321	2	no
Cell_1322	0	no
Cell_1323	3	no
Cell_1324	3	no
Cell_1325	4	no
Cell_1326	3	no
Cell_1327	3	no
Cell_1328	3	no
Cell_1329	3	no
Cell_1330	3	no
Cell_1331	0	no
Cell_1332	3	no
Cell_1333	0	no
Cell_1334	3	no
Cell_1335	3	no
Cell_1336	3	no
Cell_1337	3	no
Cell_1338	3	no
Cell_1339	3	no
Cell_1340	4	no
Cell_1341	4	no
Cell_1342	4	no
Cell_1343	3	no
Cell_1344	4	no
Cell_1345	3	no
Cell_1346	0	no
Cell_1347	4	no
Cell_1348	3	no
Cell_1349	4	no
Cell_1350	4	no
Cell_1351	3	no
Cell_1352	3	no
Cell_1353	3	no
Cell_1354	4	no
Cell_1355	3	no
Cell_1356	3	no
Cell_1357	3	no
Cell_1358	3	no
Cell_1359	0	no
Cell_1360	3	no
