cell	node	doublet
Cell_204	1	no
Cell_205	2	no
Cell_206	1	no
Cell_207	1	no
Cell_208	2	no
Cell_209	2	no
Cell_210	1	no
Cell_211	0	no
Cell_212	4	no
Cell_213	0	no
Cell_214	0	no
Cell_215	1	no
Cell_216	1	no
Cell_217	2	no
Cell_218	2	no
Cell_219	2	no
Cell_220	2	no
Cell_221	3	yes
Cell_222	2	no
Cell_223	0	no
Cell_224	1	no
Cell_225	3	no
Cell_226	0	no
Cell_227	2	no
Cell_228	2	no
Cell_229	1	no
Cell_230	1	no
Cell_231	2	no
Cell_232	3	no
Cell_233	1	no
Cell_234	1	no
Cell_235	0	no
Cell_236	1	no
Cell_237	3	yes
Cell_238	0	no
Cell_239	1	no
Cell_240	2	no
Cell_241	1	no
Cell_242	1	no
Cell_243	0	no
Cell_244	1	no
Cell_245	2	no
Cell_246	1	no
Cell_247	3	no
Cell_248	2	no
Cell_249	0	yes
Cell_250	1	no
Cell_251	1	no
Cell_252	1	no
Cell_253	2	no
Cell_254	0	no
Cell_255	1	no
Cell_256	0	no
Cell_257	1	no
Cell_258	1	no
Cell_259	1	no
Cell_260	1	no
Cell_261	3	no
Cell_262	1	no
Cell_263	2	no
Cell_264	0	no
Cell_265	2	no
Cell_266	2	no
Cell_267	1	no
Cell_268	1	no
Cell_269	1	no
Cell_270	1	yes
Cell_271	2	no
Cell_272	3	no
Cell_273	0	no
Cell_274	3	no
Cell_275	2	no
Cell_276	2	no
Cell_277	2	no
Cell_278	2	no
Cell_279	2	no
Cell_280	1	no
Cell_281	2	no
Cell_282	2	no
Cell_283	1	no
Cell_284	0	no
Cell_285	3	no
Cell_286	0	no
Cell_287	1	no
Cell_288	2	no
Cell_289	0	no
Cell_290	0	no
Cell_291	0	no
Cell_292	1	no
Cell_293	3	no
Cell_294	2	no
Cell_295	1	no
Cell_296	0	no
Cell_297	1	no
Cell_298	1	no
Cell_299	2	no
Cell_300	2	no
Cell_301	1	no
Cell_302	2	no
Cell_303	2	no
Cell_304	0	no
Cell_305	0	no
Cell_306	1	no
Cell_307	2	no
Cell_308	3	no
Cell_309	2	no
Cell_310	1	no
Cell_311	1	no
Cell_312	2	no
Cell_313	1	yes
Cell_314	2	no
Cell_315	0	no
Cell_316	0	no
Cell_317	0	no
Cell_318	0	yes
Cell_319	2	no
Cell_320	1	no
Cell_321	0	no
Cell_322	3	no
Cell_323	1	no
Cell_324	1	no
Cell_325	3	no
Cell_326	2	no
Cell_327	3	no
Cell_328	1	no
Cell_329	1	no
Cell_330	1	no
Cell_331	1	no
Cell_332	1	no
Cell_333	0	no
Cell_334	2	no
Cell_335	1	yes
Cell_336	2	no
Cell_337	1	no
Cell_338	0	no
Cell_339	1	no
Cell_340	3	no
Cell_341	3	no
Cell_342	3	no
Cell_343	1	no
Cell_344	1	no
Cell_345	2	no
Cell_346	0	no
Cell_347	3	no
Cell_348	0	no
Cell_349	2	no
Cell_350	2	no
Cell_351	0	no
Cell_352	2	no
Cell_353	2	no
Cell_354	3	no
Cell_355	2	no
Cell_356	0	no
Cell_357	2	no
Cell_358	2	no
Cell_359	0	no
Cell_360	1	no
Cell_361	2	no
Cell_362	0	no
Cell_363	2	no
Cell_364	0	no
Cell_365	1	no
Cell_366	0	no
Cell_367	1	no
Cell_368	2	no
Cell_369	1	no
Cell_370	2	no
Cell_371	3	no
Cell_372	2	no
Cell_373	1	no
Cell_374	2	no
Cell_375	2	no
Cell_376	2	no
Cell_377	2	no
Cell_378	2	no
Cell_379	1	no
Cell_380	1	no
Cell_381	2	no
Cell_382	2	no
Cell_383	2	no
Cell_384	1	no
Cell_385	2	no
Cell_386	2	no
Cell_387	1	no
Cell_388	3	no
Cell_389	1	no
Cell_390	3	no
Cell_391	3	no
Cell_392	1	no
Cell_393	1	no
Cell_394	1	no
Cell_395	2	no
Cell_396	1	no
Cell_397	1	no
Cell_398	3	no
Cell_399	1	no
Cell_400	1	no
Cell_401	1	no
Cell_402	1	no
Cell_403	3	yes
Cell_404	2	no
Cell_405	2	no
Cell_406	2	no
Cell_407	0	no
Cell_408	0	no
Cell_409	1	no
Cell_410	2	no
Cell_411	3	no
Cell_412	2	no
Cell_413	1	no
Cell_414	2	no
Cell_415	1	no
Cell_416	3	no
Cell_417	0	no
Cell_418	2	no
Cell_419	1	no
Cell_420	1	no
Cell_421	2	no
Cell_422	0	no
Cell_423	2	no
Cell_424	1	no
Cell_425	1	no
Cell_426	1	no
Cell_427	0	no
Cell_428	2	no
Cell_429	1	no
Cell_430	1	no
Cell_431	2	no
Cell_432	1	no
Cell_433	1	no
Cell_434	2	no
Cell_435	2	no
Cell_436	0	no
Cell_437	2	no
Cell_438	1	no
Cell_439	1	no
Cell_440	1	no
Cell_441	2	no
Cell_442	1	no
Cell_443	2	no
Cell_444	3	no
Cell_445	0	no
Cell_446	1	no
Cell_447	2	no
Cell_448	3	no
Cell_449	2	no
Cell_450	1	no
Cell_451	2	no
Cell_452	0	no
Cell_453	2	no
Cell_454	1	no
Cell_455	1	yes
Cell_456	3	no
Cell_457	0	no
Cell_458	1	no
Cell_459	1	no
Cell_460	2	no
Cell_461	3	no
Cell_462	0	no
Cell_463	1	no
Cell_464	1	no
Cell_465	1	no
Cell_466	3	no
Cell_467	1	no
Cell_468	2	no
Cell_469	2	no
Cell_470	2	no
Cell_471	1	no
Cell_472	2	no
Cell_473	4	no
Cell_474	1	no
Cell_475	1	no
Cell_476	0	no
Cell_477	2	no
Cell_478	1	no
Cell_479	1	no
Cell_480	1	no
Cell_481	0	no
Cell_482	0	no
Cell_483	0	no
Cell_484	3	no
Cell_485	1	no
Cell_486	3	no
Cell_487	1	no
Cell_488	1	yes
Cell_489	1	no
Cell_490	0	no
Cell_491	2	no
Cell_492	2	no
Cell_493	1	no
Cell_494	0	no
Cell_495	2	no
Cell_496	1	no
Cell_497	2	no
Cell_498	2	no
Cell_499	2	no
Cell_500	0	no
Cell_501	2	no
Cell_502	1	no
Cell_503	2	no
Cell_504	3	no
Cell_505	2	no
Cell_506	3	no
Cell_507	2	no
Cell_508	3	no
Cell_509	1	no
Cell_510	0	no
Cell_511	1	no
Cell_512	1	no
Cell_513	0	no
Cell_514	2	no
Cell_515	0	no
Cell_516	3	no
Cell_517	0	no
Cell_518	1	no
Cell_519	1	no
Cell_520	0	no
Cell_521	3	no
Cell_522	1	no
Cell_523	2	no
Cell_524	1	no
Cell_525	1	no
Cell_526	1	no
Cell_527	2	no
Cell_528	1	no
Cell_529	0	no
Cell_530	1	yes
Cell_531	2	no
Cell_532	1	no
Cell_533	1	no
Cell_534	0	no
Cell_535	2	no
Cell_536	2	no
Cell_537	2	no
Cell_538	0	no
Cell_539	2	no
Cell_540	2	no
Cell_541	1	no
Cell_542	0	no
Cell_543	1	no
Cell_544	2	no
Cell_545	1	no
Cell_546	0	no
Cell_547	1	no
Cell_548	0	no
Cell_549	0	no
Cell_550	1	no
Cell_551	2	no
Cell_552	2	no
Cell_553	2	no
Cell_554	1	no
Cell_555	1	no
Cell_556	2	no
Cell_557	1	no
Cell_558	0	no
Cell_559	4	no
Cell_560	2	no
Cell_561	1	no
Cell_562	2	no
Cell_563	3	no
Cell_564	2	no
Cell_565	0	no
Cell_566	4	no
Cell_567	3	no
Cell_568	2	no
Cell_569	2	no
Cell_570	1	no
Cell_571	3	no
Cell_572	2	no
Cell_573	3	no
Cell_574	1	no
Cell_575	1	no
Cell_576	0	no
Cell_577	0	no
Cell_578	3	no
Cell_579	1	no
Cell_580	1	no
Cell_581	1	no
Cell_582	2	yes
Cell_583	0	no
Cell_584	0	no
Cell_585	1	no
Cell_586	0	no
Cell_587	2	no
Cell_588	2	no
Cell_589	1	no
Cell_590	2	no
Cell_591	3	no
Cell_592	2	no
Cell_593	1	no
Cell_594	2	no
Cell_595	1	no
Cell_596	1	no
Cell_597	2	no
Cell_598	2	no
Cell_599	0	no
Cell_600	1	no
Cell_601	2	no
Cell_602	2	no
Cell_603	2	no
Cell_604	1	no
Cell_605	2	no
Cell_606	1	no
Cell_607	1	no
Cell_608	1	no
Cell_609	0	no
Cell_610	3	no
Cell_611	2	no
Cell_612	1	no
Cell_613	2	no
Cell_614	2	no
Cell_615	1	no
Cell_616	1	no
Cell_617	1	no
Cell_618	2	no
Cell_619	2	no
Cell_620	2	no
Cell_621	2	no
Cell_622	1	no
Cell_623	1	no
Cell_624	1	no
Cell_625	1	no
Cell_626	3	no
Cell_627	3	no
Cell_628	1	no
Cell_629	0	no
Cell_630	2	no
Cell_631	1	no
Cell_632	2	no
Cell_633	1	no
Cell_634	2	no
Cell_635	1	no
Cell_636	2	no
Cell_637	2	no
Cell_638	1	no
Cell_639	3	no
Cell_640	3	no
Cell_641	2	no
Cell_642	2	no
Cell_643	1	yes
Cell_644	1	no
Cell_645	0	no
Cell_646	2	no
Cell_647	2	no
Cell_648	1	no
Cell_649	2	no
Cell_650	2	no
Cell_651	1	no
Cell_652	2	yes
Cell_653	2	no
Cell_654	1	no
Cell_655	3	no
Cell_656	2	no
Cell_657	1	no
Cell_658	1	no
Cell_659	2	no
Cell_660	1	no
Cell_661	1	no
Cell_662	0	no
Cell_663	1	no
Cell_664	1	no
Cell_665	2	no
Cell_666	1	no
Cell_667	2	no
Cell_668	2	no
Cell_669	2	no
Cell_670	2	no
Cell_671	0	no
Cell_672	0	no
Cell_673	2	no
Cell_674	1	no
Cell_675	2	no
Cell_676	1	no
Cell_677	3	no
Cell_678	0	no
Cell_679	1	no
Cell_680	0	no
Cell_681	0	no
Cell_682	2	no
Cell_683	0	no
Cell_684	1	no
Cell_685	0	no
Cell_686	0	no
Cell_687	0	no
Cell_688	2	no
Cell_689	3	no
Cell_690	0	no
Cell_691	0	no
Cell_692	2	no
Cell_693	2	no
Cell_694	2	no
Cell_695	1	no
Cell_696	1	no
Cell_697	3	no
Cell_698	3	no
Cell_699	0	no
Cell_700	2	no
Cell_701	1	no
Cell_702	0	no
Cell_703	1	no
Cell_704	0	no
Cell_705	3	no
Cell_706	1	no
Cell_707	3	no
Cell_708	2	no
Cell_709	3	no
Cell_710	1	no
Cell_711	2	no
Cell_712	0	no
Cell_713	3	no
Cell_714	2	no
Cell_715	3	no
Cell_716	1	no
Cell_717	3	no
Cell_718	2	no
Cell_719	2	no
Cell_720	2	no
Cell_721	1	no
Cell_722	1	no
Cell_723	0	no
Cell_724	0	no
Cell_725	0	no
Cell_726	1	no
Cell_727	2	no
Cell_728	2	no
Cell_729	1	no
Cell_730	3	no
Cell_731	1	no
Cell_732	2	no
Cell_733	1	no
Cell_734	0	yes
Cell_735	1	yes
Cell_736	2	no
Cell_737	2	no
Cell_738	0	no
Cell_739	2	no
Cell_740	2	no
Cell_741	2	no
Cell_742	2	no
Cell_743	1	no
Cell_744	0	no
Cell_745	3	no
Cell_746	1	no
Cell_747	2	no
Cell_748	1	no
Cell_749	1	no
Cell_750	3	no
Cell_751	1	no
Cell_752	1	no
Cell_753	2	no
Cell_754	2	no
Cell_755	1	no
Cell_756	1	no
Cell_757	3	yes
Cell_758	1	no
Cell_759	3	no
Cell_760	0	yes
Cell_761	0	no
Cell_762	1	no
Cell_763	2	no
Cell_764	1	no
Cell_765	2	no
Cell_766	1	yes
Cell_767	3	no
Cell_768	3	no
Cell_769	2	no
Cell_770	0	no
Cell_771	1	no
Cell_772	0	no
Cell_773	3	no
Cell_774	1	no
Cell_775	2	no
Cell_776	1	no
Cell_777	1	no
Cell_778	0	no
Cell_779	2	no
Cell_780	0	no
Cell_781	0	no
Cell_782	2	no
Cell_783	2	no
Cell_784	1	no
Cell_785	2	no
Cell_786	3	no
Cell_787	1	no
Cell_788	2	no
Cell_789	0	no
Cell_790	1	no
Cell_791	2	no
Cell_792	2	no
Cell_793	1	no
Cell_794	2	no
Cell_795	3	no
Cell_796	1	yes
Cell_797	1	no
Cell_798	1	no
Cell_799	0	no
Cell_800	2	no
Cell_801	1	no
Cell_802	3	no
Cell_803	1	no
Cell_804	2	no
Cell_805	3	no
Cell_806	1	no
Cell_807	1	no
Cell_808	3	no
Cell_809	2	no
Cell_810	3	no
Cell_811	2	no
Cell_812	1	no
Cell_813	3	no
Cell_814	3	no
Cell_815	2	no
Cell_816	0	no
Cell_817	1	no
Cell_818	2	no
Cell_819	2	no
Cell_820	2	no
Cell_821	1	no
Cell_822	2	no
Cell_823	2	no
Cell_824	1	no
Cell_825	1	no
Cell_826	1	no
Cell_827	1	yes
Cell_828	1	no
Cell_829	2	no
Cell_830	2	no
Cell_831	2	no
Cell_832	3	no
Cell_833	2	no
Cell_834	0	no
Cell_835	0	no
Cell_836	2	no
Cell_837	1	no
Cell_838	2	no
Cell_839	1	no
Cell_840	2	yes
Cell_841	1	no
Cell_842	2	no
Cell_843	1	no
Cell_844	2	no
Cell_845	1	no
Cell_846	2	no
Cell_847	1	no
Cell_848	2	no
Cell_849	0	no
Cell_850	3	no
Cell_851	2	no
Cell_852	1	no
Cell_853	2	no
Cell_854	3	no
Cell_855	0	no
Cell_856	1	no
Cell_857	0	no
Cell_858	0	no
Cell_859	1	no
Cell_860	1	no
Cell_861	1	no
Cell_862	2	no
Cell_863	2	no
Cell_864	2	no
Cell_865	0	no
Cell_866	2	no
Cell_867	1	no
Cell_868	2	no
Cell_869	1	no
Cell_870	1	yes
Cell_871	2	no
Cell_872	1	no
Cell_873	1	no
Cell_874	1	no
Cell_875	0	no
Cell_876	1	no
Cell_877	0	no
Cell_878	1	no
Cell_879	2	no
Cell_880	2	no
Cell_881	0	no
Cell_882	1	no
Cell_883	3	no
Cell_884	2	no
Cell_885	0	no
Cell_886	2	no
Cell_887	1	no
Cell_888	2	no
Cell_889	2	no
Cell_890	1	no
Cell_891	1	no
Cell_892	0	no
Cell_893	1	no
Cell_894	2	no
Cell_895	2	no
Cell_896	2	no
Cell_897	3	no
Cell_898	2	no
Cell_899	0	no
Cell_900	1	no
Cell_901	3	no
Cell_902	2	no
Cell_903	2	no
Cell_904	1	no
Cell_905	1	no
Cell_906	0	no
Cell_907	2	no
Cell_908	1	no
Cell_909	2	no
Cell_910	2	no
Cell_911	1	no
Cell_912	0	no
Cell_913	0	no
Cell_914	1	no
Cell_915	0	no
Cell_916	1	no
Cell_917	0	no
Cell_918	3	no
Cell_919	1	no
Cell_920	1	no
Cell_921	4	no
Cell_922	3	no
Cell_923	0	no
Cell_924	1	no
Cell_925	0	no
Cell_926	2	no
Cell_927	1	no
Cell_928	1	no
Cell_929	2	no
Cell_930	1	no
Cell_931	1	no
Cell_932	0	no
Cell_933	0	no
Cell_934	0	no
Cell_935	3	no
Cell_936	0	no
Cell_937	0	no
Cell_938	1	no
Cell_939	2	no
Cell_940	1	no
Cell_941	1	no
Cell_942	4	no
Cell_943	1	no
Cell_944	2	no
Cell_945	0	no
Cell_946	2	no
Cell_947	1	no
Cell_948	0	no
Cell_949	1	no
Cell_950	3	no
Cell_951	2	no
Cell_952	1	no
Cell_953	0	no
Cell_954	0	no
Cell_955	1	no
Cell_956	0	no
Cell_957	2	no
Cell_958	1	no
Cell_959	3	no
Cell_960	0	no
Cell_961	1	no
Cell_962	0	no
Cell_963	0	no
Cell_964	1	no
Cell_965	2	no
Cell_966	2	no
Cell_967	2	no
Cell_968	0	no
Cell_969	1	no
Cell_970	0	no
Cell_971	3	no
Cell_972	2	no
Cell_973	1	no
Cell_974	1	no
Cell_975	2	no
Cell_976	1	no
Cell_977	2	no
Cell_978	1	no
Cell_979	1	no
Cell_980	4	no
Cell_981	1	no
Cell_982	2	no
Cell_983	2	no
Cell_984	0	no
Cell_985	1	no
Cell_986	1	no
Cell_987	1	no
Cell_988	2	no
Cell_989	2	no
Cell_990	1	no
Cell_991	0	no
Cell_992	1	yes
Cell_993	2	no
Cell_994	2	no
Cell_995	2	no
Cell_996	1	no
Cell_997	1	no
Cell_998	3	no
Cell_999	2	no
Cell_1000	1	no
Cell_1001	1	no
Cell_1002	4	no
Cell_1003	0	no
Cell_1004	1	no
Cell_1005	1	no
Cell_1006	1	no
Cell_1007	2	no
Cell_1008	0	no
Cell_1009	0	no
Cell_1010	1	no
Cell_1011	2	no
Cell_1012	1	no
Cell_1013	0	no
Cell_1014	2	no
Cell_1015	1	no
Cell_1016	1	no
Cell_1017	3	no
Cell_1018	2	no
Cell_1019	1	no
Cell_1020	1	no
Cell_1021	0	yes
Cell_1022	3	no
Cell_1023	1	no
Cell_1024	1	no
Cell_1025	2	no
Cell_1026	3	no
Cell_1027	1	no
Cell_1028	3	no
Cell_1029	1	no
Cell_1030	2	no
Cell_1031	1	no
Cell_1032	3	no
Cell_1033	2	no
Cell_1034	1	no
Cell_1035	1	no
Cell_1036	2	no
Cell_1037	2	no
Cell_1038	2	no
Cell_1039	2	no
Cell_1040	0	no
Cell_1041	2	no
Cell_1042	0	no
Cell_1043	2	no
Cell_1044	1	no
Cell_1045	1	no
Cell_1046	0	no
Cell_1047	1	no
Cell_1048	2	no
Cell_1049	1	no
Cell_1050	0	no
Cell_1051	1	no
Cell_1052	0	no
Cell_1053	2	no
Cell_1054	1	no
Cell_1055	1	no
Cell_1056	3	no
Cell_1057	2	no
Cell_1058	1	no
Cell_1059	0	no
Cell_1060	1	no
Cell_1061	2	no
Cell_1062	0	no
Cell_1063	2	no
Cell_1064	2	no
Cell_1065	0	no
Cell_1066	0	no
Cell_1067	1	no
Cell_1068	1	no
Cell_1069	1	no
Cell_1070	1	no
Cell_1071	2	no
Cell_1072	0	no
Cell_1073	2	no
Cell_1074	1	no
Cell_1075	0	no
Cell_1076	2	no
Cell_1077	1	no
Cell_1078	2	no
Cell_1079	1	no
Cell_1080	0	no
Cell_1081	1	no
Cell_1082	1	no
Cell_1083	1	no
Cell_1084	2	no
Cell_1085	1	no
Cell_1086	2	no
Cell_1087	0	no
Cell_1088	1	no
Cell_1089	0	no
Cell_1090	0	no
Cell_1091	2	no
Cell_1092	2	no
Cell_1093	2	no
Cell_1094	2	no
Cell_1095	0	no
Cell_1096	2	no
Cell_1097	2	no
Cell_1098	2	no
Cell_1099	1	no
Cell_1100	2	no
Cell_1101	0	no
Cell_1102	2	no
Cell_1103	0	no
Cell_1104	1	no
Cell_1105	1	no
Cell_1106	1	no
Cell_1107	3	no
Cell_1108	0	no
Cell_1109	3	no
Cell_1110	2	no
Cell_1111	2	no
Cell_1112	1	no
Cell_1113	1	no
Cell_1114	1	no
Cell_1115	2	no
Cell_1116	2	no
Cell_1117	1	no
Cell_1118	0	no
Cell_1119	1	yes
Cell_1120	2	no
Cell_1121	1	no
Cell_1122	1	no
Cell_1123	0	no
Cell_1124	1	yes
Cell_1125	1	no
Cell_1126	1	no
Cell_1127	2	no
Cell_1128	0	no
Cell_1129	1	no
Cell_1130	2	no
Cell_1131	2	no
Cell_1132	0	no
Cell_1133	0	no
Cell_1134	3	no
Cell_1135	2	no
Cell_1136	0	no
Cell_1137	2	no
Cell_1138	0	no
Cell_1139	2	no
Cell_1140	2	no
Cell_1141	0	no
Cell_1142	3	no
Cell_1143	1	no
Cell_1144	2	no
Cell_1145	3	no
Cell_1146	1	no
Cell_1147	1	no
Cell_1148	3	no
Cell_1149	2	no
Cell_1150	2	no
Cell_1151	2	no
Cell_1152	2	no
Cell_1153	0	no
Cell_1154	0	no
Cell_1155	1	no
Cell_1156	3	no
Cell_1157	1	no
Cell_1158	1	no
Cell_1159	2	no
Cell_1160	1	no
Cell_1161	2	no
Cell_1162	2	no
Cell_1163	2	no
Cell_1164	2	no
Cell_1165	1	no
Cell_1166	2	no
Cell_1167	1	no
Cell_1168	2	no
Cell_1169	2	no
Cell_1170	1	no
Cell_1171	2	no
Cell_1172	0	no
Cell_1173	2	no
Cell_1174	0	no
Cell_1175	2	no
Cell_1176	0	no
Cell_1177	1	no
Cell_1178	1	no
Cell_1179	2	no
Cell_1180	3	no
Cell_1181	3	no
Cell_1182	3	no
Cell_1183	1	no
Cell_1184	0	no
Cell_1185	1	no
Cell_1186	2	no
Cell_1187	1	no
Cell_1188	2	no
Cell_1189	1	no
Cell_1190	2	no
Cell_1191	0	no
Cell_1192	1	no
Cell_1193	2	no
Cell_1194	1	no
Cell_1195	2	no
Cell_1196	1	no
Cell_1197	3	no
Cell_1198	1	no
Cell_1199	2	no
Cell_1200	0	no
Cell_1201	2	no
Cell_1202	3	no
Cell_1203	1	no
Cell_1204	2	no
Cell_1205	2	no
Cell_1206	1	no
Cell_1207	0	no
Cell_1208	2	no
Cell_1209	1	no
Cell_1210	2	no
Cell_1211	3	no
Cell_1212	1	no
Cell_1213	2	no
Cell_1214	1	no
Cell_1215	1	no
Cell_1216	1	yes
Cell_1217	1	no
Cell_1218	1	no
Cell_1219	1	no
Cell_1220	2	no
Cell_1221	2	no
Cell_1222	0	yes
Cell_1223	1	no
Cell_1224	1	no
Cell_1225	3	no
Cell_1226	3	no
Cell_1227	2	no
Cell_1228	2	no
Cell_1229	0	no
Cell_1230	1	no
Cell_1231	2	no
Cell_1232	2	no
Cell_1233	2	no
Cell_1234	2	no
Cell_1235	3	no
Cell_1236	2	no
Cell_1237	1	no
Cell_1238	3	no
Cell_1239	1	no
Cell_1240	0	no
Cell_1241	2	no
Cell_1242	1	no
Cell_1243	3	no
Cell_1244	2	no
Cell_1245	1	no
Cell_1246	2	no
Cell_1247	2	no
Cell_1248	0	no
Cell_1249	0	no
Cell_1250	0	no
Cell_1251	2	no
Cell_1252	1	no
Cell_1253	2	no
Cell_1254	2	no
Cell_1255	2	no
Cell_1256	2	no
Cell_1257	1	no
Cell_1258	1	no
Cell_1259	0	no
Cell_1260	2	no
Cell_1261	2	no
Cell_1262	2	no
Cell_1263	1	yes
Cell_1264	1	no
Cell_1265	1	no
Cell_1266	1	no
Cell_1267	1	no
Cell_1268	1	no
Cell_1269	1	yes
Cell_1270	3	no
Cell_1271	1	no
Cell_1272	1	no
Cell_1273	1	no
Cell_1274	2	no
Cell_1275	2	no
Cell_1276	1	no
Cell_1277	1	no
Cell_1278	1	no
Cell_1279	2	no
Cell_1280	1	no
Cell_1281	0	no
Cell_1282	1	no
Cell_1283	0	no
Cell_1284	0	no
Cell_1285	2	no
Cell_1286	0	no
Cell_1287	2	no
Cell_1288	1	no
Cell_1289	3	no
Cell_1290	2	no
Cell_1291	0	no
Cell_1292	0	no
Cell_1293	1	no
Cell_1294	1	no
Cell_1295	1	no
Cell_1296	1	no
Cell_1297	1	no
Cell_1298	1	no
Cell_1299	1	no
Cell_1300	2	no
Cell_1301	1	no
Cell_1302	1	no
Cell_1303	0	no
Cell_1304	2	no
Cell_1305	1	no
Cell_1306	0	no
Cell_1307	2	no
Cell_1308	2	no
Cell_1309	0	no
Cell_1310	1	no
Cell_1311	1	no
Cell_1312	2	no
